Points	Alpha	Beta	Evaporation	Iterations	InitialDistance	ResultDistance
5	1.0	5.0	0.5	50	65.59829247402192	43.81572373794708
5	1.0	5.0	0.5	100	65.59829247402192	43.81572373794708
5	1.0	5.0	0.5	250	65.59829247402192	43.665606103113056
5	1.0	5.0	0.5	500	65.59829247402192	43.740664920530065
5	1.0	4.0	0.5	50	65.59829247402192	43.590547285696054
5	1.0	4.0	0.5	100	65.59829247402192	43.74066492053007
5	1.0	4.0	0.5	250	65.59829247402192	43.74066492053007
5	1.0	4.0	0.5	500	65.59829247402192	43.74066492053007
5	1.0	3.0	0.5	50	65.59829247402192	43.74066492053007
5	1.0	3.0	0.5	100	65.59829247402192	43.665606103113056
5	1.0	3.0	0.5	250	65.59829247402192	43.590547285696054
5	1.0	3.0	0.5	500	65.59829247402192	43.74066492053007
5	1.0	2.0	0.5	50	65.59829247402192	43.665606103113056
5	1.0	2.0	0.5	100	65.59829247402192	43.74066492053007
5	1.0	2.0	0.5	250	65.59829247402192	43.665606103113056
5	1.0	2.0	0.5	500	65.59829247402192	43.665606103113056
10	1.0	5.0	0.5	50	115.92569432832016	67.94551514024629
10	1.0	5.0	0.5	100	115.92569432832016	70.73494917401153
10	1.0	5.0	0.5	250	115.92569432832016	70.22586197091917
10	1.0	5.0	0.5	500	115.92569432832016	67.76392016126513
10	1.0	4.0	0.5	50	115.92569432832016	67.76392016126512
10	1.0	4.0	0.5	100	115.92569432832016	73.03754151331242
10	1.0	4.0	0.5	250	115.92569432832016	66.28693077639859
10	1.0	4.0	0.5	500	115.92569432832016	70.67461532715214
10	1.0	3.0	0.5	50	115.92569432832016	72.27709355716748
10	1.0	3.0	0.5	100	115.92569432832016	73.08859215702978
10	1.0	3.0	0.5	250	115.92569432832016	70.2910476570956
10	1.0	3.0	0.5	500	115.92569432832016	75.54070373454236
10	1.0	2.0	0.5	50	115.92569432832016	74.54966747016437
10	1.0	2.0	0.5	100	115.92569432832016	78.57538999606972
10	1.0	2.0	0.5	250	115.92569432832016	76.05843834568863
10	1.0	2.0	0.5	500	115.92569432832016	73.49847600139816
15	1.0	5.0	0.5	50	182.9338492706949	81.00825967761591
15	1.0	5.0	0.5	100	182.9338492706949	80.99705343814514
15	1.0	5.0	0.5	250	182.9338492706949	81.39741318158228
15	1.0	5.0	0.5	500	182.9338492706949	81.7247004950684
15	1.0	4.0	0.5	50	182.9338492706949	87.55657522469231
15	1.0	4.0	0.5	100	182.9338492706949	84.0021517358572
15	1.0	4.0	0.5	250	182.9338492706949	81.64523407344575
15	1.0	4.0	0.5	500	182.9338492706949	82.28414023126324
15	1.0	3.0	0.5	50	182.9338492706949	88.12111750423605
15	1.0	3.0	0.5	100	182.9338492706949	90.07942222633683
15	1.0	3.0	0.5	250	182.9338492706949	90.93178268107965
15	1.0	3.0	0.5	500	182.9338492706949	89.93238944902858
15	1.0	2.0	0.5	50	182.9338492706949	93.0182922305862
15	1.0	2.0	0.5	100	182.9338492706949	101.55384299566201
15	1.0	2.0	0.5	250	182.9338492706949	96.50547513311308
15	1.0	2.0	0.5	500	182.9338492706949	93.67222771805775
