Points	Iterations	CoolingRate	InitialDistance	ResultDistance
5	3000	0.9	60.40571735068234	41.97959213923781
5	3000	0.95	60.40571735068234	41.97959213923781
5	3000	0.99	60.40571735068234	41.97959213923781
5	500	0.9	60.40571735068234	41.97959213923781
5	500	0.95	60.40571735068234	41.97959213923781
5	500	0.99	60.40571735068234	41.97959213923781
5	1000	0.9	60.40571735068234	41.97959213923781
5	1000	0.95	60.40571735068234	41.97959213923781
5	1000	0.99	60.40571735068234	41.97959213923781
5	2000	0.9	60.40571735068234	41.97959213923781
5	2000	0.95	60.40571735068234	41.97959213923781
5	2000	0.99	60.40571735068234	41.97959213923781
5	5000	0.9	60.40571735068234	41.97959213923781
5	5000	0.95	60.40571735068234	41.97959213923781
5	5000	0.99	60.40571735068234	41.97959213923781
10	3000	0.9	100.40025570122269	75.05567599401036
10	3000	0.95	100.40025570122269	74.84259327272045
10	3000	0.99	100.40025570122269	70.31452033261282
10	500	0.9	100.40025570122269	77.905401072453
10	500	0.95	100.40025570122269	71.19298854707147
10	500	0.99	100.40025570122269	69.14741786498989
10	1000	0.9	100.40025570122269	81.27963545032823
10	1000	0.95	100.40025570122269	74.79316470305822
10	1000	0.99	100.40025570122269	70.90433972840755
10	2000	0.9	100.40025570122269	77.1983407831226
10	2000	0.95	100.40025570122269	77.30720423727125
10	2000	0.99	100.40025570122269	70.77690460510819
10	5000	0.9	100.40025570122269	75.85155492860025
10	5000	0.95	100.40025570122269	79.24818926285481
10	5000	0.99	100.40025570122269	72.5992495798169
15	3000	0.9	185.95043260375908	148.59321347413734
15	3000	0.95	185.95043260375908	137.03418749603665
15	3000	0.99	185.95043260375908	115.2971792022159
15	500	0.9	185.95043260375908	146.1165343236711
15	500	0.95	185.95043260375908	133.65804981701666
15	500	0.99	185.95043260375908	125.1802888162302
15	1000	0.9	185.95043260375908	137.16383847182666
15	1000	0.95	185.95043260375908	121.47818708305567
15	1000	0.99	185.95043260375908	123.71778417124233
15	2000	0.9	185.95043260375908	144.15297827380817
15	2000	0.95	185.95043260375908	127.64725933909504
15	2000	0.99	185.95043260375908	121.31840734224427
15	5000	0.9	185.95043260375908	148.30067944158213
15	5000	0.95	185.95043260375908	133.6295844839158
15	5000	0.99	185.95043260375908	121.32826042772847
